"Študenti terciarnega izobraževanja po: ŠTUDIJSKO LETO, STATISTIÈNA"
"REGIJA, VRSTA IZOBRAŽEVANJA , SPOL"

"2007/08"
" ";"SLOVENIJA"
" ";" ";"Višje strokovno"
" ";" ";" ";"Ženske";26
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";101
" ";" ";" ";"Ženske";139
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";32
" ";" ";" ";"Ženske";41
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";5
" ";" ";" ";"Ženske";8
" ";"stalno bivališèe neznano ali v tujini"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";23
" ";" ";" ";"Ženske";16
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";51
" ";" ";" ";"Ženske";87
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";45
" ";" ";" ";"Ženske";31
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";80
" ";" ";" ";"Ženske";107
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";206
" ";" ";" ";"Ženske";324
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";3
" ";" ";" ";"Ženske";5
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";34
" ";" ";" ";"Ženske";28
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";1
" ";" ";" ";"Ženske";3
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";50
" ";" ";" ";"Ženske";70
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";38
" ";" ";" ";"Ženske";56
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";13
" ";" ";" ";"Ženske";14
"2008/09"
" ";"SLOVENIJA"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";8551
" ";" ";" ";"Ženske";7712
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";9377
" ";" ";" ";"Ženske";9954
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";6268
" ";" ";" ";"Ženske";9324
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";5945
" ";" ";" ";"Ženske";9490
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";13170
" ";" ";" ";"Ženske";23069
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";277
" ";" ";" ";"Ženske";482
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";1315
" ";" ";" ";"Ženske";2076
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";216
" ";" ";" ";"Ženske";269
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";1993
" ";" ";" ";"Ženske";2909
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";719
" ";" ";" ";"Ženske";662
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";256
" ";" ";" ";"Ženske";357
" ";"Pomurska"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";460
" ";" ";" ";"Ženske";442
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";464
" ";" ";" ";"Ženske";555
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";332
" ";" ";" ";"Ženske";372
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";291
" ";" ";" ";"Ženske";385
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";626
" ";" ";" ";"Ženske";1179
" ";" ";"Magistrsko (2. bolonjska stopnja) - enovito magistrsko"
" ";" ";" ";"Moški";11
" ";" ";" ";"Ženske";21
" ";" ";"Magistrsko (2. bolonjska stopnja) - po konèani 1. bolonjski stopnji"
" ";" ";" ";"Moški";42
" ";" ";" ";"Ženske";69
" ";" ";"Specialistièno"
" ";" ";" ";"Moški";11
" ";" ";" ";"Ženske";6
" ";" ";"Magistrsko (prejšnje)"
" ";" ";" ";"Moški";83
" ";" ";" ";"Ženske";130
" ";" ";"Doktorsko (prejšnje)"
" ";" ";" ";"Moški";22
" ";" ";" ";"Ženske";23
" ";" ";"Doktorsko (3. bolonjska stopnja)"
" ";" ";" ";"Moški";10
" ";" ";" ";"Ženske";17
" ";"Podravska"
" ";" ";"Višje strokovno"
" ";" ";" ";"Moški";1435
" ";" ";" ";"Ženske";1371
" ";" ";"Visokošolsko strokovno (prejšnje)"
" ";" ";" ";"Moški";1072
" ";" ";" ";"Ženske";1341
" ";" ";"Visokošolsko strokovno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";959
" ";" ";" ";"Ženske";1132
" ";" ";"Visokošolsko univerzitetno (1. bolonjska stopnja)"
" ";" ";" ";"Moški";926
" ";" ";" ";"Ženske";1163
" ";" ";"Visokošolsko univerzitetno (prejšnje)"
" ";" ";" ";"Moški";1695
