"Osnovne šole in uèenci po: ŠOLSKO LETO, VRSTA ŠOLE, STATISTIÈNA REGIJA"
", MERITVE"

" ";" ";" ";"Uèenci";"Deèki";"Deklice"
" ";" ";"Posavska";5550;2852;2698
" ";" ";"Jugovzhodna Slovenija";11981;6115;5866
" ";" ";"Osrednjeslovenska";43164;22375;20789
" ";" ";"Gorenjska";17184;8917;8267
" ";" ";"Primorsko-notranjska";4088;2075;2013
" ";" ";"Goriška";9153;4666;4487
" ";" ";"Obalno-kraška";7502;3901;3601
" ";"Osnovne šole"
" ";" ";"SLOVENIJA";159701;81969;77732
" ";" ";"Pomurska";8704;4341;4363
" ";" ";"Podravska";23231;11900;11331
" ";" ";"Koroška";5834;2936;2898
" ";" ";"Savinjska";21214;10920;10294
" ";" ";"Zasavska";3054;1580;1474
" ";" ";"Posavska";5501;2817;2684
" ";" ";"Jugovzhodna Slovenija";11861;6040;5821
" ";" ";"Osrednjeslovenska";42718;22084;20634
" ";" ";"Gorenjska";17049;8837;8212
" ";" ";"Primorsko-notranjska";4042;2044;1998
" ";" ";"Goriška";9062;4619;4443
" ";" ";"Obalno-kraška";7431;3851;3580
" ";"Osnovne šole in zavodi s prilagojenim programom"
" ";" ";"SLOVENIJA";1656;1040;616
" ";" ";"Pomurska";107;67;40
" ";" ";"Podravska";276;179;97
" ";" ";"Koroška";59;39;20
" ";" ";"Savinjska";204;118;86
" ";" ";"Zasavska";52;28;24
" ";" ";"Posavska";49;35;14
" ";" ";"Jugovzhodna Slovenija";120;75;45
" ";" ";"Osrednjeslovenska";446;291;155
" ";" ";"Gorenjska";135;80;55
" ";" ";"Primorsko-notranjska";46;31;15
" ";" ";"Goriška";91;47;44
" ";" ";"Obalno-kraška";71;50;21
"2012/13"
" ";"Šole - SKUPAJ"
" ";" ";"SLOVENIJA";162775;83720;79055
" ";" ";"Pomurska";8741;4391;4350
" ";" ";"Podravska";23726;12168;11558
" ";" ";"Koroška";5848;2939;2909
" ";" ";"Savinjska";21486;11162;10324
" ";" ";"Zasavska";3084;1601;1483
" ";" ";"Posavska";5547;2823;2724
