"","Leto","Regija","Vrsta","Spol","Stevilo"
"183","2007/08","Osrednjeslovenska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",2090
"184","2007/08","Osrednjeslovenska","Visokošolsko univerzitetno (prejšnje)","Moški",4503
"185","2007/08","Osrednjeslovenska","Visokošolsko univerzitetno (prejšnje)","Ženske",7070
"186","2007/08","Osrednjeslovenska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",47
"187","2007/08","Osrednjeslovenska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",43
"188","2007/08","Osrednjeslovenska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",379
"189","2007/08","Osrednjeslovenska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",469
"190","2007/08","Osrednjeslovenska","Specialistično","Moški",65
"191","2007/08","Osrednjeslovenska","Specialistično","Ženske",74
"192","2007/08","Osrednjeslovenska","Magistrsko (prejšnje)","Moški",572
"193","2007/08","Osrednjeslovenska","Magistrsko (prejšnje)","Ženske",800
"194","2007/08","Osrednjeslovenska","Doktorsko (prejšnje)","Moški",232
"195","2007/08","Osrednjeslovenska","Doktorsko (prejšnje)","Ženske",219
"196","2007/08","Osrednjeslovenska","Doktorsko (3. bolonjska stopnja)","Moški",33
"197","2007/08","Osrednjeslovenska","Doktorsko (3. bolonjska stopnja)","Ženske",56
"198","2007/08","Gorenjska","Višje strokovno","Moški",1008
"199","2007/08","Gorenjska","Višje strokovno","Ženske",884
"200","2007/08","Gorenjska","Visokošolsko strokovno (prejšnje)","Moški",1172
"201","2007/08","Gorenjska","Visokošolsko strokovno (prejšnje)","Ženske",1330
"202","2007/08","Gorenjska","Visokošolsko strokovno (1. bolonjska stopnja)","Moški",437
"203","2007/08","Gorenjska","Visokošolsko strokovno (1. bolonjska stopnja)","Ženske",778
"204","2007/08","Gorenjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Moški",422
"205","2007/08","Gorenjska","Visokošolsko univerzitetno (1. bolonjska stopnja)","Ženske",770
"206","2007/08","Gorenjska","Visokošolsko univerzitetno (prejšnje)","Moški",1613
"207","2007/08","Gorenjska","Visokošolsko univerzitetno (prejšnje)","Ženske",2722
"208","2007/08","Gorenjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Moški",14
"209","2007/08","Gorenjska","Magistrsko (2. bolonjska stopnja) - enovito magistrsko","Ženske",21
"210","2007/08","Gorenjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Moški",120
"211","2007/08","Gorenjska","Magistrsko (2. bolonjska stopnja) - po končani 1. bolonjski stopnji","Ženske",161
"212","2007/08","Gorenjska","Specialistično","Moški",28
"213","2007/08","Gorenjska","Specialistično","Ženske",32
"214","2007/08","Gorenjska","Magistrsko (prejšnje)","Moški",169
"215","2007/08","Gorenjska","Magistrsko (prejšnje)","Ženske",235
"216","2007/08","Gorenjska","Doktorsko (prejšnje)","Moški",68
"217","2007/08","Gorenjska","Doktorsko (prejšnje)","Ženske",55
"218","2007/08","Gorenjska","Doktorsko (3. bolonjska stopnja)","Moški",12
"219","2007/08","Gorenjska","Doktorsko (3. bolonjska stopnja)","Ženske",12
"220","2007/08","Primorsko-notranjska","Višje strokovno","Moški",266
"221","2007/08","Primorsko-notranjska","Višje strokovno","Ženske",204
"222","2007/08","Primorsko-notranjska","Visokošolsko strokovno (prejšnje)","Moški",376
